Pore diameter(um)	Cumulative distribution
2.233639284	4.09937E-05
2.814209152	0.116504058
3.221465298	0.210461589
3.54568135	0.272198081
3.81946945	0.327621546
4.058791941	0.370377962
4.272798238	0.407559236
4.467278569	0.439206362
4.646156942	0.46941871
4.812229959	0.494834795
4.967569298	0.516766418
5.113757403	0.537181274
5.252033529	0.555382471
5.383388442	0.573501681
5.508628173	0.590104124
5.628418304	0.605722719
5.743315572	0.619209642
5.853790932	0.631097811
5.960246749	0.643641879
6.063029823	0.654259244
6.162441423	0.664466672
6.258745125	0.674059195
6.352173006	0.683200787
6.442930596	0.691727474
6.531200888	0.699598262
6.617147598	0.707428056
6.700917853	0.71402804
6.782644418	0.720628023
6.862447556	0.726900057
6.940436591	0.733336066
7.016711232	0.738952201
7.091362699	0.744363368
7.164474685	0.749528573
7.236124185	0.754160859
7.306382212	0.758793146
7.375314417	0.762933508
7.442981632	0.766704927
7.509440342	0.771132246
7.574743101	0.77551857
7.6389389	0.779576945
7.702073489	0.783102402
7.764189667	0.786832828
7.825327536	0.790604247
7.885524729	0.793842748
7.944816615	0.797040256
8.003236482	0.800278757
8.060815703	0.803230303
8.117583881	0.80597688
8.173568987	0.8090924
8.22879748	0.811675002
8.283294416	0.813929655
8.337083549	0.816512257
8.390187424	0.818397967
8.442627457	0.821226531
8.494424013	0.823809133
8.545596476	0.826514717
8.596163313	0.828646388
8.646142129	0.831310978
8.695549728	0.83389358
8.744402156	0.835533328
8.792714751	0.837460031
8.840502183	0.839345741
8.887778494	0.841067476
8.934557137	0.842912192
8.980851006	0.844879888
9.026672468	0.846437649
9.072033392	0.847995409
9.116945181	0.849594162
9.161418788	0.851151923
9.205464748	0.852832664
9.249093194	0.854472411
9.292313884	0.855989178
9.335136212	0.857341969
9.377569232	0.858735755
9.419621675	0.860293515
9.461301959	0.861728294
9.502618213	0.862876117
9.54357828	0.864515865
9.584189741	0.865827663
9.624459918	0.866934492
9.664395894	0.868000328
9.704004517	0.869271132
9.743292413	0.869968025
9.782265997	0.871115848
9.820931482	0.87214069
9.859294885	0.873165533
9.897362039	0.874231368
9.935138596	0.874928261
9.97263004	0.876445027
10.00984169	0.877551857
10.04677871	0.878289743
10.08344611	0.879847503
10.11984876	0.880954333
10.15599138	0.882225137
10.19187858	0.883086005
10.22751481	0.884069853
10.26290441	0.88480774
10.29805162	0.885627613
10.33296054	0.886693449
10.36763516	0.887759285
10.40207938	0.888538165
10.436297	0.889440026
10.47029169	0.890382881
10.50406706	0.890997786
10.53762661	0.891448717
10.57097375	0.891981635
10.60411181	0.892555546
10.63704405	0.893416414
10.66977362	0.893949332
10.70230362	0.894441256
10.73463706	0.89526113
10.76677688	0.895630073
10.79872596	0.896777896
10.83048711	0.897187833
10.86206305	0.897802738
10.89345647	0.898663606
10.92466998	0.899360498
10.95570614	0.900057391
10.98656745	0.900918259
11.01725635	0.90149217
11.04777522	0.902148069
11.0781264	0.902926949
11.10831218	0.903459867
11.13833479	0.903869804
11.16819642	0.904402722
11.19789921	0.904894646
11.22744526	0.905222596
11.25683661	0.905673526
11.28607528	0.906288432
11.31516323	0.906698368
11.34410239	0.907108305
11.37289465	0.907846192
11.40154186	0.908502091
11.43004584	0.90883004
11.45840835	0.909239977
11.48663114	0.909813889
11.51471593	0.910264819
11.54266438	0.910879725
11.57047813	0.911289661
11.59815881	0.911822579
11.62570798	0.912109535
11.65312721	0.912519472
11.680418	0.912929409
11.70758186	0.913339346
11.73462026	0.913913257
11.76153462	0.914487169
11.78832636	0.914856112
11.81499687	0.915143068
11.84154752	0.915634992
11.86797963	0.915880954
11.89429453	0.916331885
11.9204935	0.916700828
11.94657781	0.917233746
11.97254872	0.917397721
11.99840743	0.91772567
12.02415517	0.918094613
12.0497931	0.918545544
12.0753224	0.918750512
12.10074421	0.919119456
12.12605965	0.919365418
12.15126982	0.919734361
12.17637582	0.920103304
12.20137872	0.920677216
12.22627956	0.921046159
12.25107938	0.921333115
12.27577921	0.921702058
12.30038003	0.922071001
12.32488285	0.922357957
12.34928862	0.922849881
12.3735983	0.923300812
12.39781284	0.923669755
12.42193316	0.924161679
12.44596017	0.924694597
12.46989477	0.92506354
12.49373784	0.925227515
12.51749025	0.925432483
12.54115286	0.925637452
12.56472651	0.926088382
12.58821204	0.926785275
12.61161025	0.926990244
12.63492197	0.92740018
12.65814798	0.927646142
12.68128907	0.927810117
12.70434601	0.928056079
12.72731956	0.928384029
12.75021047	0.928670985
12.77301949	0.929039928
12.79574733	0.929408871
12.81839471	0.929736821
12.84096236	0.930105764
12.86345095	0.930228745
12.88586119	0.930515701
12.90819375	0.930720669
12.9304493	0.930966631
12.9526285	0.931212593
12.97473201	0.931581536
12.99676046	0.931909486
13.01871449	0.932319423
13.04059472	0.93272936
13.06240178	0.932934328
13.08413626	0.933098303
13.10579878	0.933303271
13.12738992	0.93350824
13.14891027	0.933631221
13.17036041	0.933795196
13.1917409	0.93395917
13.21305231	0.934246126
13.2342952	0.934451095
13.2554701	0.934697057
13.27657758	0.934984012
13.29761815	0.935270968
13.31859234	0.935393949
13.33950069	0.935598918
13.36034369	0.935803886
13.38112186	0.936090842
13.40183571	0.93629581
13.42248572	0.936664754
13.44307238	0.936951709
13.46359619	0.937197672
13.48405761	0.937443634
13.50445713	0.937607608
13.5247952	0.938017545
13.54507228	0.938140526
13.58544531	0.938591457
13.60554215	0.938755432
13.6255798	0.939083381
13.64555869	0.93928835
13.66547924	0.939411331
13.68534188	0.939657293
13.70514703	0.939780274
13.72489511	0.939944249
13.74458652	0.940190211
13.76422167	0.940600148
13.78380096	0.940723129
13.80332479	0.940928097
13.82279354	0.941174059
13.8422076	0.941543002
13.86156735	0.94162499
13.88087318	0.941788964
13.90012546	0.941829958
13.91932455	0.942034927
13.93847083	0.942116914
13.95756465	0.942321882
13.97660637	0.942526851
13.99559634	0.942772813
14.01453493	0.942936788
14.03342246	0.943018775
14.0522593	0.943141756
14.07104576	0.943469706
14.0897822	0.943510699
14.10846893	0.943797655
14.1271063	0.944002624
14.14569462	0.944166598
14.16423421	0.94441256
14.1827254	0.944658523
14.2011685	0.94474051
14.21956381	0.944945478
14.23791166	0.945027466
14.25621233	0.945232434
14.27446615	0.945396409
14.29267339	0.945601377
14.31083437	0.945724358
14.34701868	0.946011314
14.36504259	0.946134295
14.38302139	0.946339264
14.40095535	0.946462245
14.41884475	0.946667213
14.43668988	0.946749201
14.45449099	0.946872182
14.47224837	0.947036156
14.48996228	0.947118144
14.50763298	0.947200131
14.52526074	0.9474051
14.54284582	0.947528081
14.56038848	0.947774043
14.57788896	0.947938018
14.59534753	0.948101992
14.61276442	0.948224973
14.6301399	0.948593917
14.64747421	0.948716898
14.66476758	0.948798885
14.68202027	0.948921866
14.6992325	0.949044847
14.71640451	0.949249816
14.73353655	0.94941379
14.75062883	0.949659752
14.7676816	0.949823727
14.78469507	0.949946708
14.80166948	0.950110683
14.81860504	0.950233664
14.83550198	0.950438632
14.85236052	0.95052062
14.86918088	0.950725588
14.88596326	0.950766582
14.91941498	0.950848569
14.95271736	0.951012544
14.96931306	0.951217513
14.98587205	0.9512995
15.00239452	0.951422481
15.01888068	0.951463475
15.03533073	0.951627449
15.05174486	0.95175043
15.06812327	0.951873411
15.08446615	0.951914405
15.13328353	0.95207838
15.1494862	0.952160367
15.16565429	0.952242355
15.16565429	0.952283348
15.18178798	0.952324342
15.19788744	0.952570304
15.21395288	0.952652292
15.22998445	0.952816266
15.24598235	0.95285726
15.26194674	0.953062228
15.2778778	0.953185209
15.29377571	0.953349184
15.30964063	0.953472165
15.32547274	0.953595146
15.34127221	0.953677134
15.37277388	0.953759121
15.38847642	0.953841108
15.41978572	0.953923096
15.4353928	0.95396409
15.45096838	0.954128064
15.46651263	0.954292039
15.48202569	0.954538001
15.49750772	0.954701976
15.51295889	0.95474297
15.55912868	0.954824957
15.57445788	0.954865951
15.58975697	0.954906944
15.60502608	0.955070919
15.62026537	0.9551939
15.65065507	0.955398869
15.66580576	0.955480856
15.68092721	0.955562843
15.69601954	0.955603837
15.71108291	0.955767812
15.72611745	0.955808805
15.7411233	0.955890793
15.75610059	0.956013774
15.77104946	0.956095761
15.78597004	0.956136755
15.80086248	0.956218742
15.81572689	0.956259736
15.83056342	0.956382717
15.84537218	0.956505698
