Diameter (um)	Cumulative probability
6	0.000769636
8	0.001049132
10	0.00121893
12	0.001632923
14	0.109162839
16	0.189150118
18	0.189429906
20	0.19940133
22	0.285294791
24	0.286236559
26	0.38068675
28	0.407432325
30	0.470525543
32	0.479912592
34	0.553999816
36	0.587168846
38	0.619490342
40	0.635433883
42	0.673340053
44	0.682068039
46	0.722647221
48	0.738721173
50	0.759377056
52	0.767921239
54	0.794518314
56	0.795265193
58	0.81861626
60	0.827102677
62	0.84093074
64	0.846270636
66	0.861638554
68	0.868657761
70	0.876843676
72	0.881715314
74	0.893258684
76	0.89419841
78	0.904040588
80	0.908090367
82	0.913978752
84	0.916942638
86	0.92348075
88	0.926968034
90	0.930303026
92	0.93432042
94	0.938327019
96	0.940438704
98	0.944336481
100	0.947183375
102	0.949202283
104	0.952317879
106	0.955390587
108	0.95729192
110	0.958965105
112	0.961499244
114	0.962452098
116	0.964839778
118	0.966626162
120	0.968360031
122	0.969306759
124	0.971218011
126	0.972127687
128	0.973638951
130	0.974808867
132	0.976282787
134	0.976722162
136	0.978123436
138	0.979111885
140	0.980024478
142	0.98064503
144	0.981711083
146	0.982094734
148	0.983096894
150	0.983813724
152	0.984545432
154	0.984992976
156	0.985788286
158	0.986361282
160	0.986891684
162	0.98727125
164	0.987953944
166	0.988135704
168	0.988717453
170	0.989150118
172	0.989529393
174	0.989862863
176	0.990256433
178	0.99057269
180	0.991015566
182	0.991264137
184	0.991562305
186	0.991807083
188	0.99208658
190	0.992471398
192	0.992607645
194	0.992906396
196	0.993156426
198	0.993391285
200	0.993579171
202	0.993831535
204	0.993995207
206	0.994191554
208	0.994388777
210	0.994614591
212	0.994740044
214	0.994945436
216	0.995102689
218	0.995247688
220	0.995380143
222	0.995570072
224	0.995644176
226	0.995811349
228	0.995926006
230	0.996046207
232	0.996146277
234	0.99629507
236	0.996371217
238	0.996503379
240	0.996596447
242	0.996725693
244	0.996779958
246	0.996905119
248	0.996989726
250	0.997067331
252	0.997153106
254	0.99723888
256	0.997298981
258	0.997371626
260	0.997461777
262	0.997525087
264	0.997594232
266	0.997674754
268	0.997731062
270	0.997804875
272	0.997877521
274	0.997936162
276	0.997992762
278	0.998044401
280	0.998114713
282	0.998153516
284	0.998209532
286	0.998252419
288	0.998291513
290	0.998326523
292	0.998381956
294	0.998414048
296	0.998455769
298	0.998495155
300	0.998530456
302	0.998559631
304	0.99860602
306	0.998638404
308	0.998670205
310	0.998693253
312	0.998724762
314	0.998750728
316	0.998779611
318	0.998802659
320	0.998835627
322	0.998856049
324	0.998893101
326	0.998915566
328	0.998942699
330	0.998966914
332	0.998996673
334	0.999017679
336	0.999044228
338	0.999071944
340	0.999095284
342	0.999116582
344	0.999140213
346	0.999161803
348	0.999183684
350	0.999208775
352	0.999219861
354	0.99923795
356	0.99925633
358	0.999278503
360	0.999293966
362	0.999317597
364	0.99933802
366	0.999357567
368	0.999372446
370	0.999392285
372	0.999403372
374	0.999420001
376	0.999429921
378	0.999442466
380	0.999453844
382	0.99946639
384	0.99947485
386	0.999487396
388	0.999495565
390	0.999512778
392	0.999519196
394	0.999531158
396	0.999539327
398	0.999543995
400	0.999555957
402	0.999565001
404	0.999572587
406	0.999585132
408	0.999591842
410	0.999600886
412	0.99960818
414	0.999618975
416	0.999630061
418	0.999640856
420	0.999648733
422	0.999657194
424	0.999664488
426	0.999674699
428	0.999680826
430	0.999687244
432	0.999693079
434	0.999698914
436	0.999707083
438	0.999713793
440	0.99971992
442	0.999725172
444	0.99973159
446	0.999736258
448	0.99974151
450	0.999745302
452	0.999749387
454	0.999756681
456	0.999761932
458	0.9997666
460	0.999773019
462	0.999777395
464	0.999781479
466	0.999787606
468	0.999791691
470	0.999795775
472	0.999801318
474	0.999805111
476	0.999810071
478	0.999813572
480	0.999817656
482	0.999819407
484	0.999823491
486	0.999827576
488	0.99983166
490	0.99983487
492	0.999838371
494	0.999841288
496	0.999845664
498	0.999848874
500	0.999852083
502	0.999855584
504	0.999857334
506	0.999861419
508	0.999865212
510	0.999868713
512	0.99987163
514	0.999873089
516	0.999875131
518	0.999877173
520	0.999879799
522	0.999881258
524	0.999882717
526	0.999884467
528	0.999886218
530	0.99988826
532	0.999889427
534	0.999892344
536	0.99989497
538	0.999898179
540	0.999898763
542	0.999900805
544	0.999903723
546	0.999906348
548	0.999908099
550	0.999910725
552	0.999912475
554	0.99991335
556	0.999914809
558	0.999915101
560	0.999916268
562	0.999917435
564	0.999918018
566	0.999919185
568	0.999920644
570	0.999921519
572	0.999922395
574	0.99992502
576	0.999927646
578	0.999929397
580	0.999930272
582	0.999932314
584	0.999933481
586	0.999934356
588	0.999936399
590	0.999937857
592	0.999940191
594	0.999941358
596	0.999943401
598	0.999943692
600	0.999946318
602	0.999948652
604	0.99995157
606	0.999953612
608	0.999955654
610	0.999956529
612	0.999960322
614	0.999961781
616	0.99996324
618	0.999964407
620	0.999965865
622	0.999966741
624	0.999968491
626	0.999969658
628	0.999971117
630	0.999971992
632	0.999973451
634	0.99997491
636	0.999975785
638	0.99997666
642	0.999977535
644	0.999978119
646	0.999978411
648	0.999978702
652	0.999979286
654	0.999979869
656	0.999980161
660	0.999981328
662	0.999981912
664	0.999982203
666	0.999983079
670	0.99998337
672	0.999984246
674	0.999985121
678	0.999985413
682	0.999985704
684	0.999985996
692	0.999986288
696	0.99998658
700	0.999986871
704	0.999987163
706	0.999987455
712	0.99998833
716	0.999988914
718	0.999989497
720	0.999990081
722	0.999990664
726	0.999991539
728	0.999992415
730	0.999992706
732	0.999992998
734	0.999993582
738	0.999993873
742	0.999994165
746	0.999994749
756	0.999995624
758	0.999995916
762	0.999996499
770	0.999996791
784	0.999997083
788	0.999997666
790	0.999997958
794	0.99999825
802	0.999998833
808	0.999999125
812	0.999999417
830	0.999999708
856	1
